,Date,Temp,Rain,Month,Year
292,20/10/1961,14,1.5,10,1961
293,21/10/1961,13,0,10,1961
294,22/10/1961,16.4,0.5,10,1961
295,23/10/1961,15.2,0.8,10,1961
296,24/10/1961,15.4,5,10,1961
297,25/10/1961,14.8,0.2,10,1961
298,26/10/1961,13,2.5,10,1961
299,27/10/1961,13.2,1.4,10,1961
300,28/10/1961,13.4,0,10,1961
301,29/10/1961,15.8,0,10,1961
302,30/10/1961,16.4,0,10,1961
303,31/10/1961,17.6,0,10,1961
304,01/11/1961,16.2,0,11,1961
305,02/11/1961,16,0,11,1961
306,03/11/1961,17,0.1,11,1961
307,04/11/1961,17.2,0,11,1961
308,05/11/1961,17.6,0,11,1961
309,06/11/1961,18,0,11,1961
310,07/11/1961,17.6,0,11,1961
311,08/11/1961,17.6,0,11,1961
312,09/11/1961,17.4,0,11,1961
313,10/11/1961,18,0,11,1961
314,11/11/1961,21.2,0,11,1961
315,12/11/1961,22.2,0,11,1961
316,13/11/1961,19,0,11,1961
317,14/11/1961,17.2,0,11,1961
318,15/11/1961,24.8,0,11,1961
319,16/11/1961,19,0,11,1961
320,17/11/1961,17.8,0,11,1961
321,18/11/1961,18,0,11,1961
322,19/11/1961,15.4,0,11,1961
323,20/11/1961,16.4,0,11,1961
324,21/11/1961,17.6,0,11,1961
325,22/11/1961,17.6,0,11,1961
326,23/11/1961,16.4,0,11,1961
327,24/11/1961,18.2,0,11,1961
328,25/11/1961,17.6,0,11,1961
329,26/11/1961,20.2,0,11,1961
330,27/11/1961,16,0,11,1961
331,28/11/1961,17.8,0,11,1961
332,29/11/1961,18.8,0,11,1961
333,30/11/1961,17.2,0,11,1961
334,01/12/1961,18,0,12,1961
335,02/12/1961,20.2,0,12,1961
336,03/12/1961,19.6,0,12,1961
337,04/12/1961,17.2,0.6,12,1961
338,05/12/1961,19.2,0,12,1961
339,06/12/1961,17.8,0,12,1961
340,07/12/1961,20.4,0,12,1961
341,08/12/1961,19.2,0,12,1961
342,09/12/1961,19.4,0,12,1961
343,10/12/1961,20.5,0,12,1961
344,11/12/1961,17.6,0.5,12,1961
345,12/12/1961,15.8,1.8,12,1961
346,13/12/1961,17,0,12,1961
347,14/12/1961,17.4,0,12,1961
348,15/12/1961,17.6,0,12,1961
349,16/12/1961,16.8,0,12,1961
350,17/12/1961,19.4,0,12,1961
351,18/12/1961,17,0,12,1961
352,19/12/1961,18,0,12,1961
