,species,family_GM,resprout_postfire,herb,geophyte,graminoid,low_shrub,tall_shrub
751,Ficinia capitella,CYPERACEAE,1,0,0,1,0,0
753,Ficinia deusta,CYPERACEAE,1,0,0,1,0,0
756,Ficinia indica,CYPERACEAE,1,0,0,1,0,0
761,Ficinia nigrescens,CYPERACEAE,1,0,0,1,0,0
762,Ficinia nodosa,CYPERACEAE,1,0,0,1,0,0
763,Ficinia oligantha,CYPERACEAE,1,0,0,1,0,0
764,Ficinia paradoxa,CYPERACEAE,1,0,0,1,0,0
765,Ficinia pinguior,CYPERACEAE,1,0,0,1,0,0
767,Ficinia rigida,CYPERACEAE,1,0,0,1,0,0
768,Ficinia secunda,CYPERACEAE,1,0,0,1,0,0
769,Ficinia stolonifera,CYPERACEAE,1,0,0,1,0,0
770,Ficinia trichodes,CYPERACEAE,1,0,0,1,0,0
790,Geochloa rufa,POACEAE,1,0,0,1,0,0
792,Gerbera crocea,ASTERACEAE,1,1,0,0,0,0
805,Gnidia imbricata,THYMELAEACEAE,0,0,0,0,1,0
806,Gnidia juniperifolia,THYMELAEACEAE,1,0,0,0,1,0
808,Gnidia pinifolia,THYMELAEACEAE,1,0,0,0,1,0
822,Haplocarpha lanata,ASTERACEAE,1,1,0,0,0,0
835,Helichrysum crispum,ASTERACEAE,0,0,0,0,1,0
837,Helichrysum cymosum,ASTERACEAE,0,0,0,0,1,0
838,Helichrysum dasyanthum,ASTERACEAE,0,0,0,0,0,1
850,Helichrysum patulum,ASTERACEAE,0,0,0,0,1,0
865,Heliophila linearis,BRASSICACEAE,0,1,0,0,0,0
866,Heliophila scoparia,BRASSICACEAE,0,0,0,0,1,0
877,Hermannia multiflora,MALVACEAE,0,0,0,0,1,0
887,Hermas villosa,APIACEAE,1,0,0,0,1,0
903,Hypodiscus albo-aristatus,RESTIONACEAE,0,0,0,1,0,0
906,Hypodiscus aristatus,RESTIONACEAE,1,0,0,1,0,0
911,Hypodiscus willdenowia,RESTIONACEAE,1,0,0,1,0,0
913,Ifloga ambigua,ASTERACEAE,0,0,0,0,1,0
917,Indigofera angustifolia,FABACEAE,0,0,0,0,1,0
919,Indigofera candolleana,FABACEAE,0,0,0,0,1,0
925,Indigofera glomerata,FABACEAE,0,0,0,0,1,0
927,Indigofera ionii,FABACEAE,1,0,0,0,0,1
932,Indigofera sarmentosa,FABACEAE,0,0,0,0,1,0
942,Juncus kraussii,JUNCACEAE,1,0,0,1,0,0
949,Lachnaea densiflora,THYMELAEACEAE,0,0,0,0,1,0
953,Lachnaea grandiflora,THYMELAEACEAE,1,0,0,0,1,0
960,Lampranthus bicolor,AIZOACEAE,0,0,0,0,1,0
961,Lampranthus elegans,AIZOACEAE,0,0,0,0,1,0
962,Lampranthus emarginatus,AIZOACEAE,0,0,0,0,1,0
964,Lampranthus falciformis,AIZOACEAE,0,0,0,0,1,0
966,Lampranthus promontorii,AIZOACEAE,0,0,0,0,1,0
973,Laurembergia repens,HALORAGACEAE,0,1,0,0,0,0
976,Lebeckia meyeriana,FABACEAE,0,0,0,0,1,0
979,Leucadendron coniferum,PROTEACEAE,0,0,0,0,0,1
984,Leucadendron laureolum,PROTEACEAE,0,0,0,0,0,1
993,Leucadendron salignum,PROTEACEAE,1,0,0,0,0,1
999,Leucadendron xanthoconus,PROTEACEAE,0,0,0,0,0,1
1001,Leucospermum conocarpodendron,PROTEACEAE,1,0,0,0,0,1
1004,Leucospermum hypophyllocarpodendron,PROTEACEAE,1,0,0,0,1,0
1015,Linum africanum,LINACEAE,1,0,0,0,1,0
1018,Linum thunbergii,LINACEAE,1,0,0,0,1,0
1020,Liparia parva,FABACEAE,1,0,0,0,1,0
1025,Lobelia coronopifolia,CAMPANULACEAE,0,0,0,0,1,0
1030,Lobelia pinifolia,CAMPANULACEAE,0,0,0,0,1,0
1032,Lobelia setacea,CAMPANULACEAE,0,1,0,0,0,0
1037,Lobostemon fruticosus,BORAGINACEAE,0,0,0,0,1,0
1051,Macrostylis villosa,RUTACEAE,1,0,0,0,1,0
1058,Manulea tomentosa,SCROPHULARIACEAE,0,1,0,0,0,0
1059,Mastersiella digitata,RESTIONACEAE,0,0,0,1,0,0
1076,Metalasia brevifolia,ASTERACEAE,0,0,0,0,1,0
1078,Metalasia cephalotes,ASTERACEAE,0,0,0,0,1,0
1079,Metalasia densa,ASTERACEAE,0,0,0,0,0,1
1085,Metalasia muricata,ASTERACEAE,0,0,0,0,0,1
1090,Microdon dubius,SCROPHULARIACEAE,0,0,0,0,1,0
1093,Mimetes fimbriifolius,PROTEACEAE,1,0,0,0,0,1
1105,Morella quercifolia,MYRICACEAE,1,0,0,0,1,0
1107,Muraltia acipetala,POLYGALACEAE,0,0,0,0,1,0
1108,Muraltia alopecuroides,POLYGALACEAE,0,0,0,0,1,0
1110,Muraltia demissa,POLYGALACEAE,0,0,0,0,1,0
1113,Muraltia ericoides,POLYGALACEAE,0,0,0,0,1,0
1114,Muraltia filiformis,POLYGALACEAE,0,0,0,0,1,0
1117,Muraltia pageae,POLYGALACEAE,0,0,0,0,1,0
1120,Muraltia rosmarinifolia,POLYGALACEAE,0,0,0,0,1,0
1122,Muraltia spinosa,POLYGALACEAE,0,0,0,0,1,0
1124,Muraltia thunbergii,POLYGALACEAE,0,0,0,0,1,0
1125,Myrsine africana,MYRSINACEAE,1,0,0,0,0,1
1143,Oedera imbricata,ASTERACEAE,0,0,0,0,1,0
1148,Olea capensis,OLEACEAE,1,0,0,0,0,1
1150,Olea exasperata,OLEACEAE,1,0,0,0,0,1
1159,Osmitopsis asteriscoides,ASTERACEAE,0,0,0,0,0,1
1168,Osteospermum moniliferum,ASTERACEAE,0,0,0,0,0,0
1170,Osteospermum polygaloides,ASTERACEAE,1,0,0,0,0,1
1182,Othonna digitata,ASTERACEAE,1,1,0,0,0,0
1184,Othonna quinquedentata,ASTERACEAE,0,0,0,0,1,0
1200,Passerina corymbosa,THYMELAEACEAE,0,0,0,0,0,1
1208,Pelargonium betulinum,GERANIACEAE,0,0,0,0,1,0
1214,Pelargonium cucullatum,GERANIACEAE,1,0,0,0,0,1
1222,Pelargonium myrrhifolium,GERANIACEAE,1,0,0,0,1,0
1238,Pelargonium triste,GERANIACEAE,1,0,1,0,0,0
1242,Penaea mucronata,PENAEACEAE,1,0,0,0,0,1
1243,Pentameris acinosa,POACEAE,1,0,0,1,0,0
1246,Pentameris aurea,POACEAE,0,0,0,1,0,0
1247,Pentameris colorata,POACEAE,1,0,0,1,0,0
1248,Pentameris curvifolia,POACEAE,0,0,0,1,0,0
1251,Pentameris macrocalycina,POACEAE,1,0,0,1,0,0
1252,Pentameris malouinensis,POACEAE,0,0,0,1,0,0
1253,Pentameris pallida,POACEAE,0,0,0,1,0,0
1254,Pentameris scabra,POACEAE,0,0,0,1,0,0
1261,Petalacte coronata,ASTERACEAE,1,0,0,0,1,0
1262,Phaenocoma prolifera,ASTERACEAE,0,0,0,0,1,0
1274,Phylica buxifolia,RHAMNACEAE,0,0,0,0,0,1
1277,Phylica dodii,RHAMNACEAE,0,0,0,0,1,0
1278,Phylica ericoides,RHAMNACEAE,0,0,0,0,1,0
1281,Phylica imberbis,RHAMNACEAE,1,0,0,0,1,0
1288,Phylica parviflora,RHAMNACEAE,0,0,0,0,1,0
1301,Platycaulos compressus,RESTIONACEAE,1,0,0,1,0,0
1304,Plecostachys serpyllifolia,ASTERACEAE,0,0,0,0,1,0
1313,Polpoda capensis,MOLLUGINACEAE,0,0,0,0,1,0
1314,Polyarrhena reflexa,ASTERACEAE,0,0,0,0,1,0
1317,Polygala bracteolata,POLYGALACEAE,0,0,0,0,1,0
1320,Polygala garcinii,POLYGALACEAE,1,0,0,0,1,0
1336,Prismatocarpus sessilis,CAMPANULACEAE,0,0,0,0,1,0
1337,Protea acaulos,PROTEACEAE,1,0,0,0,1,0
1343,Protea cynaroides,PROTEACEAE,1,0,0,0,0,1
1350,Protea lepidocarpodendron,PROTEACEAE,0,0,0,0,0,1
1366,Pseudopentameris macrantha,POACEAE,1,0,0,1,0,0
1370,Pseudoselago spuria,SCROPHULARIACEAE,0,1,0,0,0,0
1371,Psoralea aphylla,FABACEAE,0,0,0,0,0,1
1373,Psoralea imbricata,FABACEAE,1,0,0,0,1,0
1378,Psoralea pinnata,FABACEAE,0,0,0,0,0,1
1383,Pterocelastrus tricuspidatus,CELASTRACEAE,1,0,0,0,0,1
1392,Rafnia crassifolia,FABACEAE,1,0,0,0,1,0
1405,Restio bifurcus,RESTIONACEAE,0,0,0,1,0,0
1409,Restio capensis,RESTIONACEAE,1,0,0,1,0,0
1411,Restio cincinnatus,RESTIONACEAE,1,0,0,1,0,0
1417,Restio dodii,RESTIONACEAE,0,0,0,1,0,0
1418,Restio egregius,RESTIONACEAE,1,0,0,1,0,0
1419,Restio eleocharis,RESTIONACEAE,1,0,0,1,0,0
1421,Restio filiformis,RESTIONACEAE,0,0,0,1,0,0
1431,Restio leptostachyus,RESTIONACEAE,1,0,0,1,0,0
1436,Restio paludosus,RESTIONACEAE,1,0,0,1,0,0
1443,Restio quinquefarius,RESTIONACEAE,0,0,0,1,0,0
1444,Restio ramosissimus,RESTIONACEAE,0,0,0,1,0,0
1447,Restio sarocladus,RESTIONACEAE,1,0,0,1,0,0
1458,Restio triticeus,RESTIONACEAE,1,0,0,1,0,0
1462,Restio vimineus,RESTIONACEAE,1,0,0,1,0,0
1472,Robsonodendron maritimum,CELASTRACEAE,1,0,0,0,0,1
1473,Roella amplexicaulis,CAMPANULACEAE,0,0,0,0,1,0
1474,Roella ciliata,CAMPANULACEAE,0,0,0,0,1,0
1477,Roella prostrata,CAMPANULACEAE,0,0,0,0,1,0
1478,Roella recurvata,CAMPANULACEAE,0,0,0,0,1,0
1480,Roella triflora,CAMPANULACEAE,0,0,0,0,1,0
1485,Roepera spinosa,ZYGOPHYLLACEAE,0,0,0,0,1,0
1494,Ruschia sarmentosa,AIZOACEAE,0,0,0,0,1,0
1498,Saltera sarcocolla,PENAEACEAE,1,0,0,0,0,1
1499,Salvia africana-lutea,LAMIACEAE,1,0,0,0,0,1
1516,Searsia glauca,ANACARDIACEAE,1,0,0,0,0,1
1518,Searsia laevigata,ANACARDIACEAE,1,0,0,0,0,1
1523,Searsia rosmarinifolia,ANACARDIACEAE,1,0,0,0,1,0
1572,Senecio pubigerus,ASTERACEAE,0,0,0,0,1,0
1576,Senecio triqueter,ASTERACEAE,1,0,0,0,1,0
1577,Senecio umbellatus,ASTERACEAE,0,1,0,0,0,0
1586,Serruria glomerata,PROTEACEAE,0,0,0,0,1,0
1588,Serruria villosa,PROTEACEAE,0,0,0,0,1,0
1596,Soroveta ambigua,RESTIONACEAE,1,0,0,1,0,0
1605,Staavia radiata,BRUNIACEAE,1,0,0,0,1,0
1607,Staberoha banksii,RESTIONACEAE,0,0,0,1,0,0
1608,Staberoha cernua,RESTIONACEAE,0,0,0,1,0,0
1609,Staberoha distachyos,RESTIONACEAE,1,0,0,1,0,0
1614,Stilbe ericoides,STILBACEAE,1,0,0,0,1,0
1615,Stilbe vestita,STILBACEAE,1,0,0,0,0,1
1620,Stoebe capitata,ASTERACEAE,0,0,0,0,1,0
1622,Stoebe cyathuloides,ASTERACEAE,0,0,0,0,1,0
1623,Stoebe fusca,ASTERACEAE,0,0,0,0,1,0
1624,Stoebe incana,ASTERACEAE,0,0,0,0,1,0
1627,Stoebe plumosa,ASTERACEAE,0,0,0,0,1,0
1628,Stoebe rosea,ASTERACEAE,0,0,0,0,1,0
1632,Struthiola ciliata,THYMELAEACEAE,0,0,0,0,0,1
1633,Struthiola dodecandra,THYMELAEACEAE,0,0,0,0,1,0
1642,Stylapterus fruticulosus,PENAEACEAE,1,0,0,0,1,0
1643,Syncarpha canescens,ASTERACEAE,0,0,0,0,1,0
1650,Syncarpha speciosissima,ASTERACEAE,0,0,0,0,1,0
1652,Syncarpha vestita,ASTERACEAE,0,0,0,0,1,0
1665,Tetraria compacta,CYPERACEAE,1,0,0,1,0,0
1666,Tetraria compar,CYPERACEAE,1,0,0,1,0,0
1667,Tetraria crassa,CYPERACEAE,1,0,0,1,0,0
1669,Tetraria cuspidata,CYPERACEAE,1,0,0,1,0,0
1670,Tetraria exilis,CYPERACEAE,1,0,0,1,0,0
1671,Tetraria eximia,CYPERACEAE,1,0,0,1,0,0
1672,Tetraria fasciata,CYPERACEAE,1,0,0,1,0,0
1673,Tetraria fimbriolata,CYPERACEAE,1,0,0,1,0,0
1674,Tetraria flexuosa,CYPERACEAE,1,0,0,1,0,0
1676,Tetraria ligulata,CYPERACEAE,1,0,0,1,0,0
1677,Tetraria microstachys,CYPERACEAE,1,0,0,1,0,0
1682,Tetraria pygmaea,CYPERACEAE,1,0,0,1,0,0
1684,Tetraria sylvatica,CYPERACEAE,1,0,0,1,0,0
1685,Tetraria thermalis,CYPERACEAE,1,0,0,1,0,0
1687,Tetraria ustulata,CYPERACEAE,1,0,0,1,0,0
1690,Thamnochortus arenarius,RESTIONACEAE,1,0,0,1,0,0
1693,Thamnochortus erectus,RESTIONACEAE,1,0,0,1,0,0
1695,Thamnochortus fruticosus,RESTIONACEAE,1,0,0,1,0,0
1696,Thamnochortus gracilis,RESTIONACEAE,1,0,0,1,0,0
1697,Thamnochortus insignis,RESTIONACEAE,0,0,0,1,0,0
1699,Thamnochortus lucens,RESTIONACEAE,1,0,0,1,0,0
